"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"4650","35.236908823","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","235","35.236908823","Protected Payload (KP0), DCID=f64f6fd7af1101e0"
"4674","35.251004040","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","99","35.251004040","Protected Payload (KP0), DCID=f64f6fd7af1101e0"
"4675","35.251052813","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","99","35.251052813","Protected Payload (KP0), DCID=f64f6fd7af1101e0"
"4676","35.251113232","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","99","35.251113232","Protected Payload (KP0), DCID=f64f6fd7af1101e0"
"4677","35.251187363","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","97","35.251187363","Protected Payload (KP0), DCID=f79ee338ca065983"
"4678","35.251218426","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","97","35.251218426","Protected Payload (KP0), DCID=f79ee338ca065983"
"4694","35.284822952","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","96","35.284822952","Protected Payload (KP0), DCID=f79ee338ca065983"
"4704","35.311037073","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4025:401::9b","QUIC","103","35.311037073","Handshake, DCID=c29aee31ae6512ca"
"4706","35.313236479","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4025:401::9b","QUIC","147","35.313236479","Handshake, DCID=c29aee31ae6512ca"
"4707","35.313476224","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4025:401::9b","QUIC","133","35.313476224","Protected Payload (KP0), DCID=c29aee31ae6512ca"
"4709","35.314366097","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4025:401::9b","QUIC","740","35.314366097","Protected Payload (KP0), DCID=c29aee31ae6512ca"
"4713","35.321156225","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","99","35.321156225","Protected Payload (KP0), DCID=f79ee338ca065983"
"4717","35.348984698","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","96","35.348984698","Protected Payload (KP0), DCID=f79ee338ca065983"
